"Successfully handled GDPR request.", "GDPR poistopyyntö onnistuneesti käsitelty."
"No GDPR request found.", "GDPR poitopyyntöä ei löytynyt."
"GDPR request has already been accepted.", "GDPR poistopyyntö on jo hyväksytty."
"Your GDPR request has been saved!", "GDPR poistopyyntö lähetetty."
"Successfully deleted GDPR request.", "GDPR poistopyyntö evätty."
"Your GDPR request failed to sent. Please contact customer service.", "GDPR poistopyynnön lähettäminen epäonnistui. Ota yhteyttä ylläpitoon"
"GDPR Requests", "GDPR pyynnöt"
"GDPR Request", "GDPR pyyntö"
"Show details", "Yksityiskohdat"
"Delete GDPR Request", "Poista pyynto"
"Conceal Data", "Suojaa tiedot"
"Back", "Takaisin"
"Send request", "Lähetä poistopyyntö"
"GDPR Removal Request", "GDPR Poistopyyntö"
"This request will remove your data. Include more text", "Tämä poistopyyntö poistaa tietosi järjestelmästä. Lisää muuta tietoa"
"Removal request form", "Poistopyyntö lomake"
